Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070305,1992,06,09,0.0,,Y
IDCJAC0009,070305,1992,06,10,1.4,1,Y
IDCJAC0009,070305,1992,06,11,0.0,,Y
IDCJAC0009,070305,1992,06,12,0.0,,Y
IDCJAC0009,070305,1992,06,13,0.0,,Y
IDCJAC0009,070305,1992,06,14,0.0,,Y
IDCJAC0009,070305,1992,06,15,0.0,,Y
IDCJAC0009,070305,1992,06,16,0.0,,Y
IDCJAC0009,070305,1992,06,17,0.0,,Y
IDCJAC0009,070305,1992,06,18,0.8,1,Y
IDCJAC0009,070305,1992,06,19,0.0,,Y
IDCJAC0009,070305,1992,06,20,0.0,,Y
IDCJAC0009,070305,1992,06,21,0.0,,Y
IDCJAC0009,070305,1992,06,22,,,
IDCJAC0009,070305,1992,06,23,,,
IDCJAC0009,070305,1992,06,24,,,
IDCJAC0009,070305,1992,06,25,,,
IDCJAC0009,070305,1992,06,26,,,
IDCJAC0009,070305,1992,06,27,,,
IDCJAC0009,070305,1992,06,28,,,
IDCJAC0009,070305,1992,06,29,,,
IDCJAC0009,070305,1992,06,30,,,
IDCJAC0009,070305,1992,07,01,,,
IDCJAC0009,070305,1992,07,02,,,
IDCJAC0009,070305,1992,07,03,,,
IDCJAC0009,070305,1992,07,04,,,
IDCJAC0009,070305,1992,07,05,,,
IDCJAC0009,070305,1992,07,06,,,
IDCJAC0009,070305,1992,07,07,,,
IDCJAC0009,070305,1992,07,08,,,
IDCJAC0009,070305,1992,07,09,,,
IDCJAC0009,070305,1992,07,10,,,
IDCJAC0009,070305,1992,07,11,0.0,,Y
IDCJAC0009,070305,1992,07,12,0.0,,Y
IDCJAC0009,070305,1992,07,13,0.0,,Y
IDCJAC0009,070305,1992,07,14,0.0,,Y
IDCJAC0009,070305,1992,07,15,0.0,,Y
IDCJAC0009,070305,1992,07,16,0.0,,Y
IDCJAC0009,070305,1992,07,17,0.0,,Y
IDCJAC0009,070305,1992,07,18,2.0,1,Y
IDCJAC0009,070305,1992,07,19,,,
IDCJAC0009,070305,1992,07,20,10.4,2,Y
IDCJAC0009,070305,1992,07,21,0.0,,Y
IDCJAC0009,070305,1992,07,22,0.0,,Y
IDCJAC0009,070305,1992,07,23,0.0,,Y
IDCJAC0009,070305,1992,07,24,0.0,,Y
IDCJAC0009,070305,1992,07,25,0.0,,Y
IDCJAC0009,070305,1992,07,26,0.0,,Y
IDCJAC0009,070305,1992,07,27,0.4,1,Y
IDCJAC0009,070305,1992,07,28,0.0,,Y
IDCJAC0009,070305,1992,07,29,0.0,,Y
IDCJAC0009,070305,1992,07,30,0.0,,Y
IDCJAC0009,070305,1992,07,31,0.0,,Y
IDCJAC0009,070305,1992,08,01,0.0,,Y
IDCJAC0009,070305,1992,08,02,0.0,,Y
IDCJAC0009,070305,1992,08,03,0.0,,Y
IDCJAC0009,070305,1992,08,04,0.0,,Y
IDCJAC0009,070305,1992,08,05,0.0,,Y
IDCJAC0009,070305,1992,08,06,34.0,1,Y
IDCJAC0009,070305,1992,08,07,3.0,1,Y
IDCJAC0009,070305,1992,08,08,0.0,,Y
IDCJAC0009,070305,1992,08,09,0.0,,Y
IDCJAC0009,070305,1992,08,10,0.0,,Y
IDCJAC0009,070305,1992,08,11,10.0,1,Y
IDCJAC0009,070305,1992,08,12,0.0,,Y
IDCJAC0009,070305,1992,08,13,10.0,1,Y
IDCJAC0009,070305,1992,08,14,0.0,,Y
IDCJAC0009,070305,1992,08,15,0.0,,Y
IDCJAC0009,070305,1992,08,16,0.0,,Y
IDCJAC0009,070305,1992,08,17,0.0,,Y
IDCJAC0009,070305,1992,08,18,3.4,1,Y
IDCJAC0009,070305,1992,08,19,0.0,,Y
IDCJAC0009,070305,1992,08,20,1.0,1,Y
IDCJAC0009,070305,1992,08,21,0.0,,Y
IDCJAC0009,070305,1992,08,22,0.0,,Y
IDCJAC0009,070305,1992,08,23,0.0,,Y
IDCJAC0009,070305,1992,08,24,0.6,1,Y
IDCJAC0009,070305,1992,08,25,0.0,,Y
IDCJAC0009,070305,1992,08,26,0.0,,Y
IDCJAC0009,070305,1992,08,27,0.0,,Y
IDCJAC0009,070305,1992,08,28,0.0,,Y
IDCJAC0009,070305,1992,08,29,0.0,,Y
IDCJAC0009,070305,1992,08,30,15.4,1,Y
IDCJAC0009,070305,1992,08,31,15.6,1,Y
IDCJAC0009,070305,1992,09,01,2.6,1,Y
IDCJAC0009,070305,1992,09,02,2.4,1,Y
IDCJAC0009,070305,1992,09,03,4.4,1,Y
IDCJAC0009,070305,1992,09,04,0.0,,Y
IDCJAC0009,070305,1992,09,05,0.0,,Y
IDCJAC0009,070305,1992,09,06,0.8,1,Y
IDCJAC0009,070305,1992,09,07,0.0,,Y
IDCJAC0009,070305,1992,09,08,0.4,1,Y
IDCJAC0009,070305,1992,09,09,0.0,,Y
IDCJAC0009,070305,1992,09,10,0.0,,Y
IDCJAC0009,070305,1992,09,11,0.0,,Y
IDCJAC0009,070305,1992,09,12,10.6,1,Y
IDCJAC0009,070305,1992,09,13,0.4,1,Y
IDCJAC0009,070305,1992,09,14,0.0,,Y
IDCJAC0009,070305,1992,09,15,0.4,1,Y
IDCJAC0009,070305,1992,09,16,2.4,1,Y
IDCJAC0009,070305,1992,09,17,0.0,,Y
IDCJAC0009,070305,1992,09,18,0.0,,Y
IDCJAC0009,070305,1992,09,19,0.0,,Y
IDCJAC0009,070305,1992,09,20,0.0,,Y
IDCJAC0009,070305,1992,09,21,0.0,,Y
IDCJAC0009,070305,1992,09,22,0.0,,Y
IDCJAC0009,070305,1992,09,23,0.0,,Y
IDCJAC0009,070305,1992,09,24,0.0,,Y
IDCJAC0009,070305,1992,09,25,33.0,1,Y
IDCJAC0009,070305,1992,09,26,11.0,1,Y
IDCJAC0009,070305,1992,09,27,1.0,1,Y
IDCJAC0009,070305,1992,09,28,0.2,1,Y
IDCJAC0009,070305,1992,09,29,0.0,,Y
IDCJAC0009,070305,1992,09,30,8.0,1,Y
IDCJAC0009,070305,1992,10,01,0.0,,Y
IDCJAC0009,070305,1992,10,02,0.0,,Y
IDCJAC0009,070305,1992,10,03,0.0,,Y
IDCJAC0009,070305,1992,10,04,0.0,,Y
IDCJAC0009,070305,1992,10,05,17.2,1,Y
IDCJAC0009,070305,1992,10,06,0.0,,Y
IDCJAC0009,070305,1992,10,07,0.0,,Y
IDCJAC0009,070305,1992,10,08,0.0,,Y
IDCJAC0009,070305,1992,10,09,17.4,1,Y
IDCJAC0009,070305,1992,10,10,1.4,1,Y
IDCJAC0009,070305,1992,10,11,0.0,,Y
IDCJAC0009,070305,1992,10,12,0.0,,Y
IDCJAC0009,070305,1992,10,13,0.0,,Y
IDCJAC0009,070305,1992,10,14,0.0,,Y
IDCJAC0009,070305,1992,10,15,1.4,1,Y
IDCJAC0009,070305,1992,10,16,1.4,1,Y
IDCJAC0009,070305,1992,10,17,9.6,1,Y
IDCJAC0009,070305,1992,10,18,28.0,1,Y
IDCJAC0009,070305,1992,10,19,13.0,1,Y
IDCJAC0009,070305,1992,10,20,2.6,1,Y
IDCJAC0009,070305,1992,10,21,0.2,1,Y
IDCJAC0009,070305,1992,10,22,0.0,,Y
IDCJAC0009,070305,1992,10,23,0.0,,Y
IDCJAC0009,070305,1992,10,24,0.0,,Y
IDCJAC0009,070305,1992,10,25,0.0,,Y
IDCJAC0009,070305,1992,10,26,1.4,1,Y
IDCJAC0009,070305,1992,10,27,0.0,,Y
IDCJAC0009,070305,1992,10,28,0.0,,Y
IDCJAC0009,070305,1992,10,29,0.0,,Y
IDCJAC0009,070305,1992,10,30,0.0,,Y
IDCJAC0009,070305,1992,10,31,18.0,1,Y
IDCJAC0009,070305,1992,11,01,,,
IDCJAC0009,070305,1992,11,02,25.6,2,Y
IDCJAC0009,070305,1992,11,03,0.0,,Y
IDCJAC0009,070305,1992,11,04,0.0,,Y
IDCJAC0009,070305,1992,11,05,8.0,1,Y
IDCJAC0009,070305,1992,11,06,0.0,,Y
IDCJAC0009,070305,1992,11,07,0.0,,Y
IDCJAC0009,070305,1992,11,08,0.0,,Y
IDCJAC0009,070305,1992,11,09,9.2,1,Y
IDCJAC0009,070305,1992,11,10,1.6,1,Y
IDCJAC0009,070305,1992,11,11,1.6,1,Y
IDCJAC0009,070305,1992,11,12,1.2,1,Y
IDCJAC0009,070305,1992,11,13,0.0,,Y
IDCJAC0009,070305,1992,11,14,0.0,,Y
IDCJAC0009,070305,1992,11,15,0.0,,Y
IDCJAC0009,070305,1992,11,16,,,
IDCJAC0009,070305,1992,11,17,,,
IDCJAC0009,070305,1992,11,18,,,
IDCJAC0009,070305,1992,11,19,,,
IDCJAC0009,070305,1992,11,20,,,
IDCJAC0009,070305,1992,11,21,,,
IDCJAC0009,070305,1992,11,22,,,
IDCJAC0009,070305,1992,11,23,57.0,8,Y
IDCJAC0009,070305,1992,11,24,0.0,,Y
IDCJAC0009,070305,1992,11,25,4.0,1,Y
IDCJAC0009,070305,1992,11,26,4.9,1,Y
IDCJAC0009,070305,1992,11,27,0.0,,Y
IDCJAC0009,070305,1992,11,28,3.0,1,Y
IDCJAC0009,070305,1992,11,29,0.0,,Y
IDCJAC0009,070305,1992,11,30,5.0,1,Y
IDCJAC0009,070305,1992,12,01,0.0,,Y
IDCJAC0009,070305,1992,12,02,0.0,,Y
IDCJAC0009,070305,1992,12,03,0.0,,Y
IDCJAC0009,070305,1992,12,04,0.6,1,Y
IDCJAC0009,070305,1992,12,05,37.0,1,Y
IDCJAC0009,070305,1992,12,06,0.0,,Y
IDCJAC0009,070305,1992,12,07,23.4,1,Y
IDCJAC0009,070305,1992,12,08,0.0,,Y
IDCJAC0009,070305,1992,12,09,0.0,,Y
IDCJAC0009,070305,1992,12,10,0.0,,Y
IDCJAC0009,070305,1992,12,11,0.0,,Y
IDCJAC0009,070305,1992,12,12,0.0,,Y
IDCJAC0009,070305,1992,12,13,0.0,,Y
IDCJAC0009,070305,1992,12,14,2.6,1,Y
IDCJAC0009,070305,1992,12,15,0.0,,Y
IDCJAC0009,070305,1992,12,16,0.0,,Y
IDCJAC0009,070305,1992,12,17,3.4,1,Y
IDCJAC0009,070305,1992,12,18,0.4,1,Y
IDCJAC0009,070305,1992,12,19,0.0,,Y
IDCJAC0009,070305,1992,12,20,0.0,,Y
IDCJAC0009,070305,1992,12,21,1.6,1,Y
IDCJAC0009,070305,1992,12,22,13.2,1,Y
IDCJAC0009,070305,1992,12,23,9.0,1,Y
IDCJAC0009,070305,1992,12,24,7.0,1,Y
IDCJAC0009,070305,1992,12,25,13.0,1,Y
IDCJAC0009,070305,1992,12,26,7.0,1,Y
IDCJAC0009,070305,1992,12,27,0.0,,Y
IDCJAC0009,070305,1992,12,28,0.0,,Y
IDCJAC0009,070305,1992,12,29,0.0,,Y
IDCJAC0009,070305,1992,12,30,0.0,,Y
IDCJAC0009,070305,1992,12,31,0.0,,Y
IDCJAC0009,070305,1993,01,01,0.0,,Y
IDCJAC0009,070305,1993,01,02,0.0,,Y
IDCJAC0009,070305,1993,01,03,0.0,,Y
IDCJAC0009,070305,1993,01,04,53.0,1,Y
IDCJAC0009,070305,1993,01,05,0.0,,Y
IDCJAC0009,070305,1993,01,06,0.0,,Y
IDCJAC0009,070305,1993,01,07,2.7,1,Y
IDCJAC0009,070305,1993,01,08,0.0,,Y
IDCJAC0009,070305,1993,01,09,0.0,,Y
IDCJAC0009,070305,1993,01,10,0.0,,Y
IDCJAC0009,070305,1993,01,11,0.0,,Y
IDCJAC0009,070305,1993,01,12,0.0,,Y
IDCJAC0009,070305,1993,01,13,0.0,,Y
IDCJAC0009,070305,1993,01,14,0.0,,Y
IDCJAC0009,070305,1993,01,15,0.0,,Y
IDCJAC0009,070305,1993,01,16,0.0,,Y
IDCJAC0009,070305,1993,01,17,1.2,1,Y
IDCJAC0009,070305,1993,01,18,0.0,,Y
IDCJAC0009,070305,1993,01,19,0.0,,Y
IDCJAC0009,070305,1993,01,20,0.0,,Y
IDCJAC0009,070305,1993,01,21,3.2,1,Y
IDCJAC0009,070305,1993,01,22,9.0,1,Y
IDCJAC0009,070305,1993,01,23,9.2,1,Y
IDCJAC0009,070305,1993,01,24,0.2,1,Y
IDCJAC0009,070305,1993,01,25,4.0,1,Y
IDCJAC0009,070305,1993,01,26,0.0,,Y
IDCJAC0009,070305,1993,01,27,4.2,1,Y
IDCJAC0009,070305,1993,01,28,8.4,1,Y
IDCJAC0009,070305,1993,01,29,0.0,,Y
IDCJAC0009,070305,1993,01,30,0.0,,Y
IDCJAC0009,070305,1993,01,31,0.0,,Y
IDCJAC0009,070305,1993,02,01,1.4,1,Y
IDCJAC0009,070305,1993,02,02,0.0,,Y
IDCJAC0009,070305,1993,02,03,0.0,,Y
IDCJAC0009,070305,1993,02,04,7.0,1,Y
IDCJAC0009,070305,1993,02,05,0.0,,Y
IDCJAC0009,070305,1993,02,06,0.0,,Y
IDCJAC0009,070305,1993,02,07,0.0,,Y
IDCJAC0009,070305,1993,02,08,0.0,,Y
IDCJAC0009,070305,1993,02,09,0.0,,Y
IDCJAC0009,070305,1993,02,10,13.4,1,Y
IDCJAC0009,070305,1993,02,11,0.8,1,Y
IDCJAC0009,070305,1993,02,12,0.0,,Y
IDCJAC0009,070305,1993,02,13,0.0,,Y
IDCJAC0009,070305,1993,02,14,0.0,,Y
IDCJAC0009,070305,1993,02,15,0.0,,Y
IDCJAC0009,070305,1993,02,16,0.8,1,Y
IDCJAC0009,070305,1993,02,17,5.8,1,Y
IDCJAC0009,070305,1993,02,18,0.0,,Y
IDCJAC0009,070305,1993,02,19,0.0,,Y
IDCJAC0009,070305,1993,02,20,0.0,,Y
IDCJAC0009,070305,1993,02,21,,,
IDCJAC0009,070305,1993,02,22,13.0,2,Y
IDCJAC0009,070305,1993,02,23,0.2,1,Y
IDCJAC0009,070305,1993,02,24,0.0,,Y
IDCJAC0009,070305,1993,02,25,0.0,,Y
IDCJAC0009,070305,1993,02,26,0.0,,Y
IDCJAC0009,070305,1993,02,27,0.0,,Y
IDCJAC0009,070305,1993,02,28,0.0,,Y
IDCJAC0009,070305,1993,03,01,0.0,,Y
IDCJAC0009,070305,1993,03,02,0.0,,Y
IDCJAC0009,070305,1993,03,03,0.0,,Y
IDCJAC0009,070305,1993,03,04,0.0,,Y
IDCJAC0009,070305,1993,03,05,0.0,,Y
IDCJAC0009,070305,1993,03,06,0.0,,Y
IDCJAC0009,070305,1993,03,07,25.0,1,Y
IDCJAC0009,070305,1993,03,08,12.6,1,Y
IDCJAC0009,070305,1993,03,09,11.4,1,Y
IDCJAC0009,070305,1993,03,10,1.8,1,Y
IDCJAC0009,070305,1993,03,11,0.0,,Y
IDCJAC0009,070305,1993,03,12,1.8,1,Y
IDCJAC0009,070305,1993,03,13,0.0,,Y
IDCJAC0009,070305,1993,03,14,0.0,,Y
IDCJAC0009,070305,1993,03,15,0.0,,Y
IDCJAC0009,070305,1993,03,16,0.0,,Y
IDCJAC0009,070305,1993,03,17,0.0,,Y
IDCJAC0009,070305,1993,03,18,0.0,,Y
IDCJAC0009,070305,1993,03,19,0.0,,Y
IDCJAC0009,070305,1993,03,20,0.0,,Y
IDCJAC0009,070305,1993,03,21,5.4,1,Y
IDCJAC0009,070305,1993,03,22,4.8,1,Y
IDCJAC0009,070305,1993,03,23,0.0,,Y
IDCJAC0009,070305,1993,03,24,1.0,1,Y
IDCJAC0009,070305,1993,03,25,7.2,1,Y
IDCJAC0009,070305,1993,03,26,20.6,1,Y
IDCJAC0009,070305,1993,03,27,0.2,1,Y
IDCJAC0009,070305,1993,03,28,0.0,,Y
IDCJAC0009,070305,1993,03,29,0.0,,Y
IDCJAC0009,070305,1993,03,30,0.0,,Y
IDCJAC0009,070305,1993,03,31,0.0,,Y
IDCJAC0009,070305,1993,04,01,0.0,,Y
IDCJAC0009,070305,1993,04,02,4.0,1,Y
IDCJAC0009,070305,1993,04,03,0.0,,Y
IDCJAC0009,070305,1993,04,04,0.0,,Y
IDCJAC0009,070305,1993,04,05,0.0,,Y
IDCJAC0009,070305,1993,04,06,5.4,1,Y
IDCJAC0009,070305,1993,04,07,0.0,,Y
IDCJAC0009,070305,1993,04,08,0.0,,Y
IDCJAC0009,070305,1993,04,09,0.0,,Y
IDCJAC0009,070305,1993,04,10,0.0,,Y
IDCJAC0009,070305,1993,04,11,0.0,,Y
IDCJAC0009,070305,1993,04,12,0.0,,Y
IDCJAC0009,070305,1993,04,13,0.0,,Y
IDCJAC0009,070305,1993,04,14,0.0,,Y
IDCJAC0009,070305,1993,04,15,0.0,,Y
IDCJAC0009,070305,1993,04,16,0.0,,Y
IDCJAC0009,070305,1993,04,17,0.0,,Y
IDCJAC0009,070305,1993,04,18,0.0,,Y
IDCJAC0009,070305,1993,04,19,0.0,,Y
IDCJAC0009,070305,1993,04,20,0.0,,Y
IDCJAC0009,070305,1993,04,21,1.4,1,Y
IDCJAC0009,070305,1993,04,22,0.0,,Y
IDCJAC0009,070305,1993,04,23,0.0,,Y
IDCJAC0009,070305,1993,04,24,0.0,,Y
IDCJAC0009,070305,1993,04,25,0.0,,Y
IDCJAC0009,070305,1993,04,26,0.0,,Y
IDCJAC0009,070305,1993,04,27,0.0,,Y
IDCJAC0009,070305,1993,04,28,0.0,,Y
IDCJAC0009,070305,1993,04,29,0.0,,Y
IDCJAC0009,070305,1993,04,30,0.0,,Y
IDCJAC0009,070305,1993,05,01,0.0,,Y
IDCJAC0009,070305,1993,05,02,0.0,,Y
IDCJAC0009,070305,1993,05,03,0.0,,Y
IDCJAC0009,070305,1993,05,04,0.8,1,Y
IDCJAC0009,070305,1993,05,05,0.0,,Y
IDCJAC0009,070305,1993,05,06,0.0,,Y
IDCJAC0009,070305,1993,05,07,0.0,,Y
IDCJAC0009,070305,1993,05,08,0.0,,Y
IDCJAC0009,070305,1993,05,09,0.0,,Y
IDCJAC0009,070305,1993,05,10,0.0,,Y
IDCJAC0009,070305,1993,05,11,0.0,,Y
IDCJAC0009,070305,1993,05,12,0.0,,Y
IDCJAC0009,070305,1993,05,13,0.0,,Y
IDCJAC0009,070305,1993,05,14,0.0,,Y
IDCJAC0009,070305,1993,05,15,0.0,,Y
IDCJAC0009,070305,1993,05,16,0.0,,Y
IDCJAC0009,070305,1993,05,17,0.0,,Y
IDCJAC0009,070305,1993,05,18,0.0,,Y
IDCJAC0009,070305,1993,05,19,0.0,,Y
IDCJAC0009,070305,1993,05,20,0.0,,Y
IDCJAC0009,070305,1993,05,21,0.0,,Y
IDCJAC0009,070305,1993,05,22,0.0,,Y
IDCJAC0009,070305,1993,05,23,4.2,1,Y
IDCJAC0009,070305,1993,05,24,0.0,,Y
IDCJAC0009,070305,1993,05,25,0.0,,Y
IDCJAC0009,070305,1993,05,26,0.0,,Y
IDCJAC0009,070305,1993,05,27,0.0,,Y
IDCJAC0009,070305,1993,05,28,0.0,,Y
IDCJAC0009,070305,1993,05,29,0.0,,Y
IDCJAC0009,070305,1993,05,30,0.0,,Y
IDCJAC0009,070305,1993,05,31,11.2,1,Y
IDCJAC0009,070305,1993,06,01,0.0,,Y
IDCJAC0009,070305,1993,06,02,15.2,1,Y
IDCJAC0009,070305,1993,06,03,1.8,1,Y
IDCJAC0009,070305,1993,06,04,0.0,,Y
IDCJAC0009,070305,1993,06,05,0.0,,Y
IDCJAC0009,070305,1993,06,06,0.0,,Y
IDCJAC0009,070305,1993,06,07,0.0,,Y
IDCJAC0009,070305,1993,06,08,0.0,,Y
IDCJAC0009,070305,1993,06,09,0.0,,Y
IDCJAC0009,070305,1993,06,10,0.0,,Y
IDCJAC0009,070305,1993,06,11,1.0,1,Y
IDCJAC0009,070305,1993,06,12,11.0,1,Y
IDCJAC0009,070305,1993,06,13,0.0,,Y
IDCJAC0009,070305,1993,06,14,0.0,,Y
IDCJAC0009,070305,1993,06,15,0.0,,Y
IDCJAC0009,070305,1993,06,16,0.2,1,Y
IDCJAC0009,070305,1993,06,17,0.0,,Y
IDCJAC0009,070305,1993,06,18,0.2,1,Y
IDCJAC0009,070305,1993,06,19,0.0,,Y
IDCJAC0009,070305,1993,06,20,0.0,,Y
IDCJAC0009,070305,1993,06,21,0.0,,Y
IDCJAC0009,070305,1993,06,22,0.4,1,Y
IDCJAC0009,070305,1993,06,23,0.0,,Y
IDCJAC0009,070305,1993,06,24,0.0,,Y
IDCJAC0009,070305,1993,06,25,0.0,,Y
IDCJAC0009,070305,1993,06,26,0.0,,Y
IDCJAC0009,070305,1993,06,27,0.0,,Y
IDCJAC0009,070305,1993,06,28,0.0,,Y
IDCJAC0009,070305,1993,06,29,0.0,,Y
IDCJAC0009,070305,1993,06,30,0.0,,Y
IDCJAC0009,070305,1993,07,01,0.0,,Y
IDCJAC0009,070305,1993,07,02,0.0,,Y
IDCJAC0009,070305,1993,07,03,0.0,,Y
IDCJAC0009,070305,1993,07,04,1.2,1,Y
IDCJAC0009,070305,1993,07,05,0.0,,Y
IDCJAC0009,070305,1993,07,06,30.6,1,Y
IDCJAC0009,070305,1993,07,07,21.2,1,Y
IDCJAC0009,070305,1993,07,08,,,
IDCJAC0009,070305,1993,07,09,,,
IDCJAC0009,070305,1993,07,10,,,
IDCJAC0009,070305,1993,07,11,,,
IDCJAC0009,070305,1993,07,12,,,
IDCJAC0009,070305,1993,07,13,,,
IDCJAC0009,070305,1993,07,14,,,
IDCJAC0009,070305,1993,07,15,,,
IDCJAC0009,070305,1993,07,16,,,
IDCJAC0009,070305,1993,07,17,,,
IDCJAC0009,070305,1993,07,18,,,
IDCJAC0009,070305,1993,07,19,,,
IDCJAC0009,070305,1993,07,20,,,
IDCJAC0009,070305,1993,07,21,,,
IDCJAC0009,070305,1993,07,22,,,
IDCJAC0009,070305,1993,07,23,,,
IDCJAC0009,070305,1993,07,24,,,
IDCJAC0009,070305,1993,07,25,,,
IDCJAC0009,070305,1993,07,26,,,
IDCJAC0009,070305,1993,07,27,,,
IDCJAC0009,070305,1993,07,28,,,
IDCJAC0009,070305,1993,07,29,,,
IDCJAC0009,070305,1993,07,30,,,
IDCJAC0009,070305,1993,07,31,,,
IDCJAC0009,070305,1993,08,01,0.0,,Y
IDCJAC0009,070305,1993,08,02,0.8,1,Y
IDCJAC0009,070305,1993,08,03,0.0,,Y
IDCJAC0009,070305,1993,08,04,3.8,1,Y
IDCJAC0009,070305,1993,08,05,0.0,,Y
IDCJAC0009,070305,1993,08,06,0.0,,Y
IDCJAC0009,070305,1993,08,07,0.0,,Y
IDCJAC0009,070305,1993,08,08,0.0,,Y
IDCJAC0009,070305,1993,08,09,0.0,,Y
IDCJAC0009,070305,1993,08,10,0.0,,Y
IDCJAC0009,070305,1993,08,11,6.0,1,Y
IDCJAC0009,070305,1993,08,12,0.0,,Y
IDCJAC0009,070305,1993,08,13,0.0,,Y
IDCJAC0009,070305,1993,08,14,0.0,,Y
IDCJAC0009,070305,1993,08,15,0.0,,Y
IDCJAC0009,070305,1993,08,16,4.8,1,Y
IDCJAC0009,070305,1993,08,17,0.0,,Y
IDCJAC0009,070305,1993,08,18,0.0,,Y
IDCJAC0009,070305,1993,08,19,0.0,,Y
IDCJAC0009,070305,1993,08,20,0.0,,Y
IDCJAC0009,070305,1993,08,21,0.0,,Y
IDCJAC0009,070305,1993,08,22,0.0,,Y
IDCJAC0009,070305,1993,08,23,0.0,,Y
IDCJAC0009,070305,1993,08,24,0.0,,Y
IDCJAC0009,070305,1993,08,25,0.0,,Y
IDCJAC0009,070305,1993,08,26,0.0,,Y
IDCJAC0009,070305,1993,08,27,0.0,,Y
IDCJAC0009,070305,1993,08,28,0.0,,Y
IDCJAC0009,070305,1993,08,29,1.0,1,Y
IDCJAC0009,070305,1993,08,30,0.2,1,Y
IDCJAC0009,070305,1993,08,31,0.8,1,Y
IDCJAC0009,070305,1993,09,01,1.0,1,Y
IDCJAC0009,070305,1993,09,02,26.8,1,Y
IDCJAC0009,070305,1993,09,03,0.0,,Y
IDCJAC0009,070305,1993,09,04,0.0,,Y
IDCJAC0009,070305,1993,09,05,0.0,,Y
IDCJAC0009,070305,1993,09,06,0.0,,Y
IDCJAC0009,070305,1993,09,07,0.0,,Y
IDCJAC0009,070305,1993,09,08,0.0,,Y
IDCJAC0009,070305,1993,09,09,38.2,1,Y
IDCJAC0009,070305,1993,09,10,0.0,,Y
IDCJAC0009,070305,1993,09,11,0.0,,Y
IDCJAC0009,070305,1993,09,12,0.0,,Y
IDCJAC0009,070305,1993,09,13,0.0,,Y
IDCJAC0009,070305,1993,09,14,27.4,1,Y
IDCJAC0009,070305,1993,09,15,,,
IDCJAC0009,070305,1993,09,16,,,
IDCJAC0009,070305,1993,09,17,,,
IDCJAC0009,070305,1993,09,18,2.2,4,Y
IDCJAC0009,070305,1993,09,19,0.0,,Y
IDCJAC0009,070305,1993,09,20,5.0,1,Y
IDCJAC0009,070305,1993,09,21,0.0,,Y
IDCJAC0009,070305,1993,09,22,0.0,,Y
IDCJAC0009,070305,1993,09,23,0.0,,Y
IDCJAC0009,070305,1993,09,24,0.0,,Y
IDCJAC0009,070305,1993,09,25,0.0,,Y
IDCJAC0009,070305,1993,09,26,0.0,,Y
IDCJAC0009,070305,1993,09,27,0.0,,Y
IDCJAC0009,070305,1993,09,28,0.0,,Y
IDCJAC0009,070305,1993,09,29,0.0,,Y
IDCJAC0009,070305,1993,09,30,0.0,,Y
IDCJAC0009,070305,1993,10,01,0.0,,Y
IDCJAC0009,070305,1993,10,02,1.2,1,Y
IDCJAC0009,070305,1993,10,03,0.0,,Y
IDCJAC0009,070305,1993,10,04,33.0,1,Y
IDCJAC0009,070305,1993,10,05,6.2,1,Y
IDCJAC0009,070305,1993,10,06,0.0,,Y
IDCJAC0009,070305,1993,10,07,0.0,,Y
IDCJAC0009,070305,1993,10,08,0.0,,Y
IDCJAC0009,070305,1993,10,09,0.0,,Y
IDCJAC0009,070305,1993,10,10,0.0,,Y
IDCJAC0009,070305,1993,10,11,0.0,,Y
IDCJAC0009,070305,1993,10,12,0.0,,Y
IDCJAC0009,070305,1993,10,13,0.0,,Y
IDCJAC0009,070305,1993,10,14,0.0,,Y
IDCJAC0009,070305,1993,10,15,0.0,,Y
IDCJAC0009,070305,1993,10,16,1.8,1,Y
IDCJAC0009,070305,1993,10,17,0.0,,Y
IDCJAC0009,070305,1993,10,18,1.0,1,Y
IDCJAC0009,070305,1993,10,19,10.0,1,Y
IDCJAC0009,070305,1993,10,20,0.0,,Y
IDCJAC0009,070305,1993,10,21,0.0,,Y
IDCJAC0009,070305,1993,10,22,0.0,,Y
IDCJAC0009,070305,1993,10,23,0.0,,Y
IDCJAC0009,070305,1993,10,24,0.0,,Y
IDCJAC0009,070305,1993,10,25,0.0,,Y
IDCJAC0009,070305,1993,10,26,1.0,1,Y
IDCJAC0009,070305,1993,10,27,0.0,,Y
IDCJAC0009,070305,1993,10,28,0.0,,Y
IDCJAC0009,070305,1993,10,29,0.2,1,Y
IDCJAC0009,070305,1993,10,30,0.0,,Y
IDCJAC0009,070305,1993,10,31,0.0,,Y
IDCJAC0009,070305,1993,11,01,0.0,,Y
IDCJAC0009,070305,1993,11,02,4.2,1,Y
IDCJAC0009,070305,1993,11,03,10.2,1,Y
IDCJAC0009,070305,1993,11,04,0.2,1,Y
IDCJAC0009,070305,1993,11,05,0.0,,Y
IDCJAC0009,070305,1993,11,06,0.0,,Y
IDCJAC0009,070305,1993,11,07,0.0,,Y
IDCJAC0009,070305,1993,11,08,0.0,,Y
IDCJAC0009,070305,1993,11,09,1.2,1,Y
IDCJAC0009,070305,1993,11,10,0.0,,Y
IDCJAC0009,070305,1993,11,11,0.0,,Y
